Title:,"Time Series, Area-Averaged of Dust Surface Mass Concentration - PM 2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,1999-01-01T00:00:00Z
User End Date:,2025-10-10T23:59:59Z
User Bounding Box:,"69.1,41.15,69.45,41.4"
Data Bounding Box:,"69.375,41.5,69.375,41.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1999-01-01T00:00:00Z&endtime=2025-10-10T23:59:59Z&bbox=69.1,41.15,69.45,41.4&data=M2T1NXAER_5_12_4_DUSMASS25&dataKeyword=dusmass25&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_DUSMASS25):, 1000000000000000

time, mean_M2T1NXAER_5_12_4_DUSMASS25
1999-01-17 07:30:00,1.66846825e-09
1999-01-17 08:30:00,1.60889679e-09
1999-01-17 09:30:00,1.55523605e-09
1999-01-17 10:30:00,1.50476132e-09
1999-01-17 11:30:00,1.45883106e-09
1999-01-17 12:30:00,1.42063072e-09
1999-01-17 13:30:00,1.39743861e-09
1999-01-17 14:30:00,1.3837973e-09
1999-01-17 15:30:00,1.37333711e-09
1999-01-17 16:30:00,1.36924649e-09
1999-01-17 17:30:00,1.37380751e-09
1999-01-17 18:30:00,1.38561518e-09
1999-01-17 19:30:00,1.39243639e-09
1999-01-17 20:30:00,1.39152689e-09
1999-01-17 21:30:00,1.38606993e-09
1999-01-17 22:30:00,1.39698386e-09
1999-01-17 23:30:00,1.45564627e-09
1999-01-18 00:30:00,1.54977897e-09
1999-01-18 01:30:00,1.63254299e-09
1999-01-18 02:30:00,1.65255187e-09
1999-01-18 03:30:00,1.60525815e-09
1999-01-18 04:30:00,1.53340807e-09
1999-01-18 05:30:00,1.46201273e-09
1999-01-18 06:30:00,1.39607437e-09
1999-01-18 07:30:00,1.31012712e-09
1999-01-18 08:30:00,1.21599453e-09
1999-01-18 09:30:00,1.53249857e-09
1999-01-18 10:30:00,3.23052518e-09
1999-01-18 11:30:00,5.48243406e-09
1999-01-18 12:30:00,8.40373104e-09
1999-01-18 13:30:00,1.07174856e-08
1999-01-18 14:30:00,1.20417099e-08
1999-01-18 15:30:00,1.20853665e-08
1999-01-18 16:30:00,1.16669989e-08
1999-01-18 17:30:00,1.13759615e-08
1999-01-18 18:30:00,1.10958354e-08
1999-01-18 19:30:00,1.08775566e-08
1999-01-18 20:30:00,1.06811076e-08
1999-01-18 21:30:00,1.04519131e-08
1999-01-18 22:30:00,1.01426867e-08
1999-01-18 23:30:00,9.6843058e-09
1999-01-19 00:30:00,9.11313691e-09
1999-01-19 01:30:00,8.49468051e-09
1999-01-19 02:30:00,7.88713805e-09
1999-01-19 03:30:00,7.30142347e-09
1999-01-19 04:30:00,6.81757228e-09
1999-01-19 05:30:00,6.57746568e-09
1999-01-19 06:30:00,6.78301149e-09
1999-01-19 07:30:00,6.55199983e-09
1999-01-19 08:30:00,6.25914298e-09
1999-01-19 09:30:00,6.06269168e-09
1999-01-19 10:30:00,5.98811312e-09
1999-01-19 11:30:00,5.99357008e-09
1999-01-19 12:30:00,5.8880687e-09
1999-01-19 13:30:00,5.52608981e-09
1999-01-19 14:30:00,5.04587661e-09
1999-01-19 15:30:00,4.69481165e-09
1999-01-19 16:30:00,4.52018911e-09
1999-01-19 17:30:00,4.40741221e-09
1999-01-19 18:30:00,4.30554792e-09
1999-01-19 19:30:00,4.22551238e-09
1999-01-19 20:30:00,4.13820089e-09
1999-01-19 21:30:00,4.03997547e-09
1999-01-19 22:30:00,3.92356014e-09
1999-01-19 23:30:00,3.79986886e-09
1999-01-20 00:30:00,3.74711817e-09
1999-01-20 01:30:00,4.15639079e-09
1999-01-20 02:30:00,5.94445737e-09
1999-01-20 03:30:00,7.9817255e-09
1999-01-20 04:30:00,9.33505362e-09
1999-01-20 05:30:00,8.35643732e-09
1999-01-20 06:30:00,7.28505256e-09
1999-01-20 07:30:00,6.66659616e-09
1999-01-20 08:30:00,6.49561116e-09
1999-01-20 09:30:00,6.63749233e-09
1999-01-20 10:30:00,7.58882379e-09
1999-01-20 11:30:00,9.33141564e-09
1999-01-20 12:30:00,1.029548e-08
1999-01-20 13:30:00,1.05210347e-08
1999-01-20 14:30:00,1.07211235e-08
1999-01-20 15:30:00,1.0986696e-08
1999-01-20 16:30:00,1.12086127e-08
1999-01-20 17:30:00,1.16342562e-08
1999-01-20 18:30:00,1.21690391e-08
1999-01-20 19:30:00,1.26383384e-08
1999-01-20 20:30:00,1.30239641e-08
1999-01-20 21:30:00,1.36096787e-08
1999-01-20 22:30:00,1.41699275e-08
1999-01-20 23:30:00,1.5112164e-08
1999-01-21 00:30:00,1.49520929e-08
1999-01-21 01:30:00,1.47192623e-08
1999-01-21 02:30:00,1.47156252e-08
1999-01-21 03:30:00,1.51267159e-08
1999-01-21 04:30:00,1.82189979e-08
1999-01-21 05:30:00,2.07000994e-08
1999-01-21 06:30:00,2.07292032e-08
1999-01-21 07:30:00,1.97833288e-08
1999-01-21 08:30:00,1.88156264e-08
1999-01-21 09:30:00,1.82481017e-08
1999-01-21 10:30:00,1.8189894e-08
1999-01-21 11:30:00,1.87355909e-08
1999-01-21 12:30:00,1.88738341e-08
1999-01-21 13:30:00,1.80807547e-08
1999-01-21 14:30:00,1.66692189e-08
1999-01-21 15:30:00,1.54177542e-08
1999-01-21 16:30:00,1.53740984e-08
1999-01-21 17:30:00,1.59125193e-08
1999-01-21 18:30:00,1.65455276e-08
1999-01-21 19:30:00,1.70839485e-08
1999-01-21 20:30:00,1.74259185e-08
1999-01-21 21:30:00,1.76369213e-08
1999-01-21 22:30:00,1.7673301e-08
1999-01-21 23:30:00,1.77242327e-08
1999-01-22 00:30:00,1.79425115e-08
1999-01-22 01:30:00,1.82408257e-08
1999-01-22 02:30:00,1.87792466e-08
1999-01-22 03:30:00,1.95504981e-08
1999-01-22 04:30:00,2.24681571e-08
1999-01-22 05:30:00,2.57132342e-08
1999-01-22 06:30:00,2.59751687e-08
1999-01-22 07:30:00,2.40834215e-08
1999-01-22 08:30:00,2.2271708e-08
1999-01-22 09:30:00,2.08674464e-08
1999-01-22 10:30:00,1.98488124e-08
1999-01-22 11:30:00,1.91430463e-08
1999-01-22 12:30:00,1.86410034e-08
1999-01-22 13:30:00,1.82844833e-08
1999-01-22 14:30:00,1.79643465e-08
1999-01-22 15:30:00,1.74695742e-08
1999-01-22 16:30:00,1.67056076e-08
1999-01-22 17:30:00,1.57597491e-08
1999-01-22 18:30:00,1.47301762e-08
1999-01-22 19:30:00,1.38934411e-08
1999-01-22 20:30:00,1.33659341e-08
1999-01-22 21:30:00,1.30639819e-08
1999-01-22 22:30:00,1.28929969e-08
1999-01-22 23:30:00,1.27656676e-08
1999-01-23 00:30:00,1.24200596e-08
1999-01-23 01:30:00,1.19180186e-08
1999-01-23 02:30:00,1.12268026e-08
1999-01-23 03:30:00,1.02227204e-08
1999-01-23 04:30:00,8.12360668e-09
1999-01-23 05:30:00,6.45741283e-09
1999-01-23 06:30:00,5.60066837e-09
1999-01-23 07:30:00,5.21868149e-09
1999-01-23 08:30:00,5.07316233e-09
1999-01-23 09:30:00,5.09317255e-09
1999-01-23 10:30:00,5.26779642e-09
1999-01-23 11:30:00,5.76438275e-09
1999-01-23 12:30:00,6.62839783e-09
1999-01-23 13:30:00,7.54881935e-09
1999-01-23 14:30:00,7.52699858e-09
1999-01-23 15:30:00,6.16455509e-09
1999-01-23 16:30:00,4.50021842e-09
1999-01-23 17:30:00,3.51795326e-09
1999-01-23 18:30:00,3.37513484e-09
1999-01-23 19:30:00,3.36967787e-09
1999-01-23 20:30:00,3.13684767e-09
1999-01-23 21:30:00,2.86581781e-09
1999-01-23 22:30:00,2.57659849e-09
1999-01-23 23:30:00,2.25554686e-09
1999-01-24 00:30:00,1.94359018e-09
1999-01-24 01:30:00,1.68802228e-09
1999-01-24 02:30:00,1.559329e-09
1999-01-24 03:30:00,1.5670597e-09
1999-01-24 04:30:00,2.25100072e-09
1999-01-24 05:30:00,4.00723943e-09
1999-01-24 06:30:00,4.37830749e-09
1999-01-24 07:30:00,4.59840521e-09
1999-01-24 08:30:00,5.05860953e-09
1999-01-24 09:30:00,5.70616976e-09
1999-01-24 10:30:00,6.6684156e-09
1999-01-24 11:30:00,8.36735303e-09
1999-01-24 12:30:00,1.01172191e-08
1999-01-24 13:30:00,1.06992966e-08
1999-01-24 14:30:00,9.86256232e-09
1999-01-24 15:30:00,8.32005753e-09
1999-01-24 16:30:00,7.14680937e-09
1999-01-24 17:30:00,6.51016308e-09
1999-01-24 18:30:00,6.1627361e-09
1999-01-24 19:30:00,5.87897375e-09
1999-01-24 20:30:00,5.62795321e-09
1999-01-24 21:30:00,5.46060619e-09
1999-01-24 22:30:00,5.31144906e-09
1999-01-24 23:30:00,5.13682608e-09
1999-01-25 00:30:00,4.95674612e-09
1999-01-25 01:30:00,4.83851181e-09
1999-01-25 02:30:00,4.81304596e-09
1999-01-25 03:30:00,4.88944352e-09
1999-01-25 04:30:00,5.06042852e-09
1999-01-25 05:30:00,5.55155566e-09
1999-01-25 06:30:00,6.39920472e-09
